time,rpm
2790.000000,218.180000
2795.000000,224.240000
2800.000000,224.240000
2805.000000,218.180000
2810.000000,224.240000
2815.000000,218.180000
2820.000000,224.240000
2825.000000,218.180000
2830.000000,224.240000
2835.000000,224.240000
2840.000000,218.180000
2845.000000,224.240000
2850.000000,224.240000
2855.000000,218.180000
2860.000000,218.180000
2865.000000,224.240000
2870.000000,224.240000
2875.000000,218.180000
2880.000000,224.240000
2885.000000,224.240000
2890.000000,218.180000
2895.000000,224.240000
2900.000000,218.180000
2905.000000,224.240000
2910.000000,218.180000
2915.000000,224.240000
2920.000000,224.240000
2925.000000,218.180000
2930.000000,224.240000
2935.000000,224.240000
2940.000000,218.180000
2945.000000,218.180000
2950.000000,224.240000
2955.000000,224.240000
2960.000000,218.180000
2965.000000,224.240000
2970.000000,224.240000
2975.000000,218.180000
2980.000000,224.240000
2985.000000,224.240000
2990.000000,218.180000
2995.000000,224.240000
3000.000000,218.180000
3005.000000,224.240000
3010.000000,218.180000
3015.000000,224.240000
